20MICRONS,EQ,33.9,34.25,33.15,33.5,33.55,33.55,23479,790102.3,02-DEC-2019,232,INE144J01027
21STCENMGM,EQ,13.2,13.2,13.2,13.2,13.2,13.35,1000,13200,02-DEC-2019,1,INE253B01015
3IINFOTECH,EQ,2,2,1.9,1.95,2,1.95,1255578,2467406.95,02-DEC-2019,639,INE748C01020
3MINDIA,EQ,22399,22469,22180,22206.3,22180,22241.75,1027,22932493.25,02-DEC-2019,665,INE470A01017
3PLAND,EQ,5.85,6,5.65,5.85,5.65,5.85,2893,16954.25,02-DEC-2019,17,INE105C01023
5PAISA,EQ,171,173.7,166,173.7,173.7,165.45,28312,4856513.05,02-DEC-2019,876,INE618L01018
63MOONS,EQ,105.25,105.6,102.15,103,103.85,104.85,145226,14999511.65,02-DEC-2019,1772,INE111B01023
732GS2024,GS,91,91,91,91,91,95,100,9100,02-DEC-2019,1,IN0020180488
74GS2035,GS,100,100,100,100,100,98.7,1100,110000,02-DEC-2019,2,IN0020050012
8KMILES,BZ,39.15,39.15,39.15,39.15,39.15,41.2,3837,150218.55,02-DEC-2019,59,INE650K01021
A2ZINFRA,EQ,9.35,9.35,8.75,8.8,8.8,8.85,134242,1188734.8,02-DEC-2019,251,INE619I01012
AARON,SM,48.65,48.65,48.65,48.65,48.65,48.95,3300,160545,02-DEC-2019,1,INE721Z01010
AARTIDRUGS,EQ,518,524,518,519.7,518,520,4506,2349806.6,02-DEC-2019,618,INE767A01016
AARTIIND,EQ,843.65,843.65,822.45,827.25,826.8,843.65,83360,69377270.35,02-DEC-2019,6489,INE769A01020
AARVEEDEN,EQ,12.35,12.5,12.15,12.25,12.15,12.6,9064,111151.65,02-DEC-2019,44,INE273D01019
AAVAS,EQ,1755,1788.75,1717.25,1751.9,1745,1773.25,60263,105700619.35,02-DEC-2019,7026,INE216P01012
ABAN,BE,26.55,26.95,25.55,25.95,26,26.55,14653,382287.5,02-DEC-2019,188,INE421A01028
ABB,EQ,1445,1494,1442.95,1479.4,1479,1447.8,79049,116723692.5,02-DEC-2019,7330,INE117A01022
ABBOTINDIA,EQ,12678.4,12880,12578.4,12621.25,12658,12578.4,7348,93424828.6,02-DEC-2019,3090,INE358A01014
ABCAPITAL,EQ,109.8,111,105.75,107.15,106.8,109.45,2691643,290525377.5,02-DEC-2019,34621,INE674K01013
ABFRL,EQ,224.65,228.7,220,226.65,225.3,225.25,416171,93300616.25,02-DEC-2019,7191,INE647O01011
ABMINTLTD,BE,14.1,14.1,14.1,14.1,14.1,14.1,1,14.1,02-DEC-2019,1,INE251C01017
ABSLBANETF,EQ,320.7,320.7,316.16,318.49,317.17,323.33,4,1273.84,02-DEC-2019,4,INF209KB1O58
ABSLNN50ET,EQ,288,288.15,286.38,286.38,286.38,286.3,15,4307.79,02-DEC-2019,4,INF209KB1B87
ABSLRIF6RG,MF,6.95,6.95,6.95,6.95,6.95,7.1,2500,17375,02-DEC-2019,1,INF209KB1LL4
ACC,EQ,1521,1546.8,1520,1531.3,1535.7,1522.15,769666,1181566986.45,02-DEC-2019,26378,INE012A01025
ACCELYA,EQ,954.1,960.5,950,956.55,957,954.1,18188,17402087.75,02-DEC-2019,612,INE793A01012
ACCURACY,SM,28.3,28.3,25.65,26.1,26.1,27,8000,211280,02-DEC-2019,5,INE648Z01015
ACE,EQ,78,78.3,74.9,75.25,74.95,77.8,56079,4251020.55,02-DEC-2019,1173,INE731H01025
ADANIENT,EQ,212,213.7,206.05,209,208.35,214.9,3169460,664413185.2,02-DEC-2019,20785,INE423A01024
ADANIGAS,EQ,161.5,167.7,158.15,164.15,163.25,161.35,3953480,648237335.6,02-DEC-2019,29583,INE399L01023
ADANIGREEN,EQ,138,138.7,130.25,131.3,132.25,137.1,3121254,411409919.95,02-DEC-2019,18933,INE364U01010
ADANIPORTS,EQ,381.1,383.35,375.85,377.75,377.7,382.05,3783084,1432219940.9,02-DEC-2019,52045,INE742F01042
ADANIPOWER,EQ,63.95,64.2,62,62.3,62.1,63.6,6394975,402678185.4,02-DEC-2019,14396,INE814H01011
ADANITRANS,EQ,313,341.35,303.9,332.15,332.25,310.15,2329535,766984132.85,02-DEC-2019,37563,INE931S01010
ADFFOODS,EQ,301.9,311.5,301.9,308.35,308,300.35,114161,35079992.85,02-DEC-2019,2596,INE982B01019
ADHUNIKIND,EQ,117.05,118.3,114.3,114.85,114.6,116.75,19884,2312419.15,02-DEC-2019,581,INE452L01012
ADLABS,BE,4.4,4.4,4,4.4,4.4,4.2,257895,1115556.1,02-DEC-2019,357,INE172N01012
ADORWELD,EQ,314.05,314.85,307.1,312,311.5,312.6,7889,2457692.35,02-DEC-2019,376,INE045A01017
ADROITINFO,BE,8.6,9.35,8.6,9.35,9.35,8.95,112,1013.95,02-DEC-2019,5,INE737B01033
ADSL,EQ,23.85,25,23.5,23.65,23.75,23.65,279118,6757288.7,02-DEC-2019,850,INE102I01027
ADVANIHOTR,EQ,54.6,55.45,54.55,54.7,54.7,54.65,2007,109810.1,02-DEC-2019,30,INE199C01026
ADVENZYMES,EQ,166.8,171.9,164.25,166.4,166.1,165.55,146367,24600061.6,02-DEC-2019,3555,INE837H01020
AEGISCHEM,EQ,196.8,203.5,191.7,195.05,195.5,195.6,249275,48877557.25,02-DEC-2019,7187,INE208C01025
AFFLE,EQ,1560,1568,1480.1,1490.2,1492,1521.45,87205,132139494.6,02-DEC-2019,8232,INE00WC01019
AGARIND,EQ,105,105,99.9,102.05,102,101,12805,1305636.5,02-DEC-2019,88,INE204E01012
AGCNET,BE,131.95,131.95,120.3,121,121,125.95,1037,126497,02-DEC-2019,17,INE676A01019
AGRITECH,EQ,43,47,41.05,44.05,43.95,43.05,55947,2511514.35,02-DEC-2019,1529,INE449G01018
AGROPHOS,EQ,133.75,134.4,133.75,134.15,134.35,133.25,814459,109263755.5,02-DEC-2019,7226,INE740V01019
AHIMSA,SM,30.8,30.8,30.8,30.8,30.8,30.8,6000,184800,02-DEC-2019,1,INE136T01014
AHLADA,SM,50,50,50,50,50,51.65,1000,50000,02-DEC-2019,1,INE00PV01013
AHLEAST,EQ,195.2,198,178,178.05,178,182.4,4488,814516.4,02-DEC-2019,318,INE926K01017
AHLUCONT,EQ,279.7,290.05,263.7,288.1,289,274.8,7144,2018837.4,02-DEC-2019,841,INE758C01029
AHLWEST,EQ,333,401.55,311.45,373.75,378,334.65,21808,8195192.7,02-DEC-2019,1384,INE915K01010
AIAENG,EQ,1657.8,1657.8,1608.9,1643.9,1640,1644.25,30660,50153019.4,02-DEC-2019,3432,INE212H01026
AIFL,BZ,1.6,1.65,1.55,1.55,1.55,1.6,18952,30018.15,02-DEC-2019,52,INE428O01016
AIONJSW,EQ,10.2,10.8,9.95,10,10,9.9,84267,844708.65,02-DEC-2019,135,INE743C01021
AIRAN,EQ,10.9,11,10.75,10.75,10.75,10.95,67074,726772.2,02-DEC-2019,33,INE645W01026
AIROLAM,SM,31,31,31,31,31,31,3000,93000,02-DEC-2019,1,INE801L01010
AISL,SM,26,26,26,26,26,24.8,2400,62400,02-DEC-2019,2,INE635Y01015
AJANTPHARM,EQ,999,1002.2,986,989.9,988.7,996.9,42220,41857091.4,02-DEC-2019,2669,INE031B01049
AJMERA,EQ,122.95,122.95,118.7,119.8,120,122.35,20395,2444586,02-DEC-2019,508,INE298G01027
AJOONI,SM,8.4,8.4,8.4,8.4,8.4,8.7,4000,33600,02-DEC-2019,1,INE820Y01013
AKG,SM,31.6,31.6,31.5,31.5,31.5,31.4,12000,378800,02-DEC-2019,3,INE00Y801016
AKSHARCHEM,EQ,186.4,190.9,186,186.25,186.85,188.35,1620,304752.6,02-DEC-2019,77,INE542B01011
AKSHOPTFBR,EQ,6.9,7.4,6.85,7.3,7.2,7.05,410748,2936209.6,02-DEC-2019,634,INE523B01011
AKZOINDIA,EQ,1950,1950,1910,1921.2,1920,1935.05,3866,7428124.25,02-DEC-2019,1095,INE133A01011
ALANKIT,EQ,12.9,13.05,12.25,12.55,12.85,12.85,66764,840438.45,02-DEC-2019,284,INE914E01040
ALBERTDAVD,EQ,404.1,410,401.05,403.5,403,405.35,4202,1699706.85,02-DEC-2019,171,INE155C01010
ALBK,EQ,23.9,24.05,23.3,23.4,23.4,23.85,988149,23337414,02-DEC-2019,3003,INE428A01015
ALCHEM,BE,0.85,0.85,0.8,0.8,0.8,0.85,3084,2492.25,02-DEC-2019,13,INE964B01033
ALEMBICLTD,EQ,52.35,53.5,51.4,53.05,53,52.75,171983,9022389,02-DEC-2019,3005,INE426A01027
ALICON,EQ,374.15,386.5,368,380.95,377.05,372.25,2931,1117961.9,02-DEC-2019,257,INE062D01024
ALKALI,EQ,40.5,40.5,39.65,39.95,39.85,40.55,3764,150858.95,02-DEC-2019,66,INE773I01017
ALKEM,EQ,2022.1,2059.3,2000.05,2033.25,2040.9,2029.1,25437,51498271.05,02-DEC-2019,7336,INE540L01014
ALKYLAMINE,EQ,1077,1077,1065,1066.75,1068,1071.7,6264,6713846.6,02-DEC-2019,369,INE150B01021
ALLCARGO,EQ,93.25,93.75,92.05,92.3,92.05,93.25,58470,5421723.1,02-DEC-2019,865,INE418H01029
ALLSEC,EQ,277.2,279.9,275,276.35,277.8,277.2,1823,502551.9,02-DEC-2019,103,INE835G01018
ALMONDZ,EQ,9.55,9.55,9.5,9.5,9.5,9.45,182,1733.55,02-DEC-2019,4,INE326B01027
ALOKTEXT,EQ,3.15,3.15,3.15,3.15,3.15,3,491446,1548054.9,02-DEC-2019,308,INE270A01011
ALPA,EQ,15.8,15.95,15.35,15.55,15.35,15.7,7824,122290.85,02-DEC-2019,94,INE385I01010
ALPHAGEO,EQ,186.1,190,176.3,178,177,184.35,16287,2940075.35,02-DEC-2019,662,INE137C01018
ALPSINDUS,BE,1.25,1.25,1.25,1.25,1.25,1.2,2022,2527.5,02-DEC-2019,9,INE093B01015
AMARAJABAT,EQ,753.6,775,744.25,751.55,753.45,750.65,277065,208379455.1,02-DEC-2019,8936,INE885A01032
AMBER,EQ,1040,1069.5,1033.05,1042.9,1042,1032,32233,33735445.8,02-DEC-2019,2746,INE371P01015
AMBIKCO,EQ,864.4,870,864.05,866.35,868.7,872.8,936,811232.65,02-DEC-2019,113,INE540G01014
AMBUJACEM,EQ,205.5,211,204.65,209.85,209.95,204.65,3517119,732138112.55,02-DEC-2019,31517,INE079A01024
AMDIND,EQ,16.3,16.9,15.65,16.05,16,16.35,6517,107257,02-DEC-2019,49,INE005I01014
AMJLAND,EQ,19.9,20.5,18.85,19.2,19.2,19.3,3816,74287.9,02-DEC-2019,37,INE606A01024
AMRUTANJAN,EQ,451.9,473.95,443.65,469.1,469.2,446.4,52272,24152365.2,02-DEC-2019,5810,INE098F01031
ANANTRAJ,EQ,33.35,34.2,33.35,33.55,33.6,33.7,261330,8788489.95,02-DEC-2019,934,INE242C01024
ANDHRABANK,EQ,18.95,18.95,18.5,18.65,18.75,18.8,707762,13236533.15,02-DEC-2019,1739,INE434A01013
ANDHRACEMT,BE,2.3,2.35,2.2,2.3,2.3,2.3,107493,240538.4,02-DEC-2019,123,INE666E01012
ANDHRSUGAR,EQ,291.05,298.5,290,293.15,294,292.2,56938,16751784.95,02-DEC-2019,1459,INE715B01013
ANIKINDS,BE,9.2,9.2,8.4,8.45,8.4,8.8,2413,20740.9,02-DEC-2019,26,INE087B01017
ANKITMETAL,BE,1.15,1.15,1.05,1.05,1.05,1.1,114203,125591.6,02-DEC-2019,240,INE106I01010
ANSALAPI,EQ,5.1,5.1,4.8,4.85,4.85,4.9,19714,96876.7,02-DEC-2019,62,INE436A01026
ANSALHSG,BE,5.8,5.95,5.6,5.7,5.65,5.8,38187,217830.45,02-DEC-2019,114,INE880B01015
ANTGRAPHIC,BE,0.6,0.6,0.55,0.6,0.6,0.6,30858,17748.55,02-DEC-2019,23,INE414B01021
ANUP,EQ,450,460,440.1,440.35,441.05,449.8,20714,9226394.75,02-DEC-2019,757,INE294Z01018
APARINDS,EQ,454.95,456.5,448.95,452.05,450.1,454.3,2023,914830.65,02-DEC-2019,381,INE372A01015
APCL,EQ,143.15,155.95,143.15,147.45,149.95,144.05,4849,729337.1,02-DEC-2019,116,INE071F01012
APCOTEXIND,EQ,167,174.5,166.3,172.05,174,169.55,8256,1395504.25,02-DEC-2019,260,INE116A01032
APEX,EQ,301.55,306.6,294,300.2,300.25,303.7,115023,34560547.25,02-DEC-2019,5084,INE346W01013
APLAPOLLO,EQ,1566.65,1629,1552.2,1613.25,1616,1565.95,11630,18443876.85,02-DEC-2019,1450,INE702C01019
APLLTD,EQ,555,560,550.25,556.1,558,551.9,82126,45680990.4,02-DEC-2019,2421,INE901L01018
APOLLO,EQ,71.15,72.8,70.5,70.55,70.9,70.4,23363,1671143.25,02-DEC-2019,487,INE713T01010
APOLLOHOSP,EQ,1450.2,1450.2,1414.45,1416.25,1420,1441.2,308438,438951496.95,02-DEC-2019,19694,INE437A01024
APOLLOPIPE,EQ,353.95,353.95,340.25,346.8,346.4,346.05,1501,516065.25,02-DEC-2019,253,INE126J01016
APOLLOTYRE,EQ,169,169,166.25,168.05,168.5,168.05,1099589,184329336.7,02-DEC-2019,13629,INE438A01022
APOLSINHOT,EQ,687.95,688,652.2,669.8,661,669.6,327,219341.3,02-DEC-2019,66,INE451F01024
APTECHT,EQ,164.35,164.4,156,158.55,158.45,163.65,125719,20029754.95,02-DEC-2019,2776,INE266F01018
ARCHIDPLY,EQ,28.05,28.05,27.05,27.3,27.7,28.05,4455,121707.55,02-DEC-2019,335,INE877I01016
ARCHIES,BE,19.75,20.6,19.35,20.6,20.6,19.65,36546,738641.4,02-DEC-2019,193,INE731A01020
ARCOTECH,BE,2.55,2.55,2.45,2.45,2.45,2.55,14077,34768.45,02-DEC-2019,36,INE574I01035
ARIES,EQ,65.75,65.75,64.1,64.5,64.3,65.7,6261,406040.65,02-DEC-2019,174,INE298I01015
ARIHANT,EQ,22.15,22.85,21.1,22.65,22.7,22.15,4943,109489.55,02-DEC-2019,37,INE413D01011
ARIHANTSUP,BE,23.15,24.7,22.8,23.1,24.05,24,1596,36965.05,02-DEC-2019,25,INE643K01018
ARMANFIN,EQ,576,585,565,572.4,570,571.35,3472,1998525.55,02-DEC-2019,453,INE109C01017
AROGRANITE,EQ,39.85,40,37.25,38.15,38.3,38.25,4201,158316.95,02-DEC-2019,118,INE210C01013
ARROWGREEN,EQ,49.6,52.25,48.2,51.6,52.25,49.8,9872,495493.2,02-DEC-2019,604,INE570D01018
ARROWTEX,EQ,9.4,9.7,9.15,9.35,9.45,9.4,7004,65608.1,02-DEC-2019,61,INE933J01015
ARSHIYA,EQ,17,17.3,16.6,16.6,16.65,16.55,16038,271648.5,02-DEC-2019,81,INE968D01022
ARSSINFRA,EQ,25.25,26.45,24.85,24.95,24.85,26.15,18815,474838.95,02-DEC-2019,158,INE267I01010
ARVIND,EQ,43.2,43.35,41.95,42.1,42.15,43.2,1585609,67164652,02-DEC-2019,8753,INE034A01011
ARVINDFASN,EQ,344,344,339.65,341.8,342.9,343.3,41976,14325562.15,02-DEC-2019,1499,INE955V01021
ARVSMART,EQ,88.25,90,87.9,88.8,88.95,89.55,2652,234746.95,02-DEC-2019,217,INE034S01021
ASAHIINDIA,EQ,205.5,206.9,198.6,200.4,200,205.5,3871,778316.7,02-DEC-2019,354,INE439A01020
ASAHISONG,EQ,144.7,145,137.65,138.55,139,139.8,2221,310784.25,02-DEC-2019,303,INE228I01012
ASAL,EQ,30.95,32,30.95,31.9,31.95,31.65,4091,129101.35,02-DEC-2019,57,INE900C01027
ASHAPURMIN,BE,29.95,29.95,27.35,27.95,28.2,28.75,13459,376577.8,02-DEC-2019,128,INE348A01023
